,Tarih,Tahmini_Nem,Tahmini Derece (°C)
76,2023-11-17,9.522049486637115,18.43540120124817
77,2023-11-18,9.057208642363548,18.325382351875305
78,2023-11-19,8.591895960271358,18.216420590877533
79,2023-11-20,8.139382191002369,18.107508182525635
80,2023-11-21,7.713689796626568,17.99754238128662
81,2023-11-22,7.328653246164322,17.8853217959404
82,2023-11-23,6.996765211224556,17.769552290439606
83,2023-11-24,6.7278032302856445,17.648842871189117
84,2023-11-25,6.527243413031101,17.521703600883484
85,2023-11-26,6.394463025033474,17.386554539203644
86,2023-11-27,6.320719964802265,17.24171507358551
87,2023-11-28,6.286925487220287,17.085412800312042
88,2023-11-29,6.261194676160812,16.915773034095764
89,2023-11-30,6.196183934807777,16.730833530426025
90,2023-12-01,9.927709080278873,16.64878010749817
91,2023-12-02,10.950587652623653,16.48425018787384
92,2023-12-03,11.70358031988144,16.324401795864105
93,2023-12-04,12.241255030035973,16.17002671957016
94,2023-12-05,12.605168372392654,16.02182525396347
95,2023-12-06,12.82629258185625,15.880398035049438
96,2023-12-07,12.927228443324566,15.746252596378326
97,2023-12-08,12.92420557886362,15.619799196720123
98,2023-12-09,12.828863933682442,15.501352071762085
99,2023-12-10,12.649824142456055,15.391128540039062
100,2023-12-11,12.394035622477531,15.289255201816559
101,2023-12-12,12.067921124398708,15.195756435394287
102,2023-12-13,11.678294070065022,15.110565483570099
103,2023-12-14,11.233068756759167,15.033515274524689
104,2023-12-15,10.741752721369267,14.96434736251831
105,2023-12-16,10.215721860527992,14.902705430984497
106,2023-12-17,9.668286263942719,14.848136305809021
107,2023-12-18,9.11453329026699,14.800094962120056
108,2023-12-19,8.57096304744482,14.75793331861496
109,2023-12-20,8.054902978241444,14.720914781093597
110,2023-12-21,7.583710305392742,14.688203811645508
111,2023-12-22,7.173757344484329,14.658867955207825
112,2023-12-23,6.839205220341682,14.63188087940216
113,2023-12-24,6.590556979179382,14.606119930744171
114,2023-12-25,6.433003939688206,14.58036494255066
115,2023-12-26,6.364545188844204,14.553303003311157
116,2023-12-27,6.3739024475216866,14.52352225780487
117,2023-12-28,6.4382143542170525,14.489518523216248
118,2023-12-29,6.5205202996730804,14.449686408042908
119,2023-12-30,6.567019835114479,14.40233165025711
120,2023-12-31,6.504128158092499,14.345657348632812
121,2024-01-01,13.92960987240076,18.79656809568405
122,2024-01-02,13.869621895253658,18.34177553653717
123,2024-01-03,13.401374399662018,17.929941534996033
124,2024-01-04,12.666228756308556,17.557786226272583
125,2024-01-05,11.778383761644363,17.221932590007782
126,2024-01-06,10.82810277491808,16.918909430503845
127,2024-01-07,9.884738437831402,16.64514648914337
128,2024-01-08,8.999526895582676,16.396982789039612
129,2024-01-09,8.208180859684944,16.170656204223633
130,2024-01-10,7.5332595109939575,15.962311506271362
131,2024-01-11,6.986324355006218,15.767999231815338
132,2024-01-12,6.569883428514004,15.583669364452362
133,2024-01-13,6.279114730656147,15.405181288719177
134,2024-01-14,6.103380493819714,15.228294730186462
135,2024-01-15,6.027521826326847,15.048675417900085
136,2024-01-16,6.032941356301308,14.861893117427826
137,2024-01-17,6.0984655022621155,14.663419127464294
138,2024-01-18,6.2010021060705185,14.448634386062622
139,2024-01-19,6.315970323979855,14.212819218635559
140,2024-01-20,6.4175219014286995,13.951158225536346
141,2024-01-21,6.4785500690341,13.658744275569916
142,2024-01-22,6.470477730035782,13.330570638179779
143,2024-01-23,6.362831071019173,12.961534559726715
144,2024-01-24,6.122604131698608,12.546440780162811
145,2024-01-25,5.713399566709995,12.07999473810196
146,2024-01-26,5.094359837472439,11.55680775642395
147,2024-01-27,4.218882687389851,10.971395373344421
148,2024-01-28,3.0331211611628532,10.318176865577698
149,2024-01-29,1.474265307188034,9.591475069522858
150,2024-01-30,-0.5313852876424789,8.78551870584488
151,2024-01-31,-3.0705698132514954,7.894437551498413
152,2024-02-01,9.938578583300114,12.158589005470276
153,2024-02-02,9.994923613965511,12.034914553165436
154,2024-02-03,9.7225062251091,11.94676023721695
155,2024-02-04,9.243535980582237,11.891111135482788
156,2024-02-05,8.655115991830826,11.864860832691193
157,2024-02-06,8.03240329772234,11.86480462551117
158,2024-02-07,7.431556932628155,11.887643218040466
159,2024-02-08,6.892460383474827,11.929982483386993
160,2024-02-09,6.441239908337593,11.9883291721344
161,2024-02-10,6.092568039894104,12.05909639596939
162,2024-02-11,5.851736351847649,12.138603270053864
163,2024-02-12,5.716532550752163,12.223068118095398
164,2024-02-13,5.678893215954304,12.308617770671844
165,2024-02-14,5.726338557898998,12.391282081604004
