,Date,Hour,Dew_Point,TD1,TD2,TD3,TD4,TD5
98,2023/1/9,04:20,2,5,1022,0 km/sa,"10,00",Bulut Tavanı ve Görüş Temiz
99,2023/1/9,06:20,3,4,1021,"3,70","10,00",Bulut Tavanı ve Görüş Temiz
100,2023/1/9,08:20,1,8,1021,"16,7 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
101,2023/1/9,10:20,2,8,1021,"14,8 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
102,2023/1/9,12:20,4,10,1021,"13,0 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
103,2023/1/9,14:20,5,11,1020,"9,26 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
104,2023/1/9,16:20,3,11,1019,"11,1 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
105,2023/1/9,18:20,3,10,1019,"11,1 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
106,2023/1/9,20:20,4,10,1018,"13,0 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
107,2023/1/9,22:20,4,10,1018,"11,1 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
108,2023/1/10,00:20,5,10,1018,"11,1 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
109,2023/1/10,02:20,5,9,1017,"7,41 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
110,2023/1/10,04:20,5,9,1017,"13,0 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
111,2023/1/10,06:20,5,10,1016,"9,26 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
112,2023/1/10,08:20,4,10,1016,"7,41 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
113,2023/1/10,10:20,5,11,1015,"14,8 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
114,2023/1/10,12:20,4,11,1014,"25,9 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
115,2023/1/10,14:20,4,13,1013,"29,6 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
116,2023/1/10,16:20,3,13,1012,"25,9 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
117,2023/1/10,18:20,5,13,1011,"22,2 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
118,2023/1/10,20:20,4,14,1010,"27,8 km/sa, GD","10,00",Çok bulutlu (2.438 m)
119,2023/1/10,22:20,6,13,1012,"11,1 km/sa, GD","10,00",Çok bulutlu (3.048 m)
120,2023/1/11,00:20,10,12,1012,"11,1 km/sa, B","10,00",Çok bulutlu (2.134 m)
121,2023/1/11,02:20,10,11,1013,"5,56 km/sa, GD","10,00",Çok bulutlu (2.438 m)
122,2023/1/11,04:20,9,11,1013,"13,0 km/sa, GD","10,00",Çok bulutlu (1.219 m)
123,2023/1/11,06:20,9,12,1013,"11,1 km/sa, D","10,00",Çok bulutlu (1.219 m)
124,2023/1/11,08:20,7,12,1013,"18,5 km/sa, D","10,00",Çok bulutlu (3.658 m)
125,2023/1/11,10:20,8,12,1013,"7,41 km/sa, D","10,00",Çok bulutlu (3.048 m)
126,2023/1/11,12:20,9,12,1014,"5,56 km/sa, GD","10,00",Çok bulutlu (2.438 m)
127,2023/1/11,14:20,8,12,1014,"3,70 km/sa, GD","10,00",Çok bulutlu (2.438 m)
128,2023/1/11,16:20,9,12,1014,"7,41 km/sa, K","10,00",Çok bulutlu (2.438 m)
129,2023/1/11,18:20,9,12,1014,"7,41","10,00",Çok bulutlu (2.743 m)
130,2023/1/11,20:20,9,12,1015,"9,26 km/sa, K","10,00",Çok bulutlu (2.438 m)
131,2023/1/11,22:20,8,11,1015,"14,8 km/sa, K","10,00",Çok bulutlu (975 m)
132,2023/1/12,00:20,8,11,1015,"16,7 km/sa, K","10,00",Çok bulutlu (2.438 m)
133,2023/1/12,02:20,8,11,1015,"16,7 km/sa, K","10,00",Çok bulutlu (2.743 m)
134,2023/1/12,04:20,9,10,1015,"11,1 km/sa, K","10,00",Çok bulutlu (1.067 m)
135,2023/1/12,06:20,9,10,1015,"11,1 km/sa, K","10,00",Çok bulutlu (2.743 m)
136,2023/1/12,08:20,9,10,1016,"7,41 km/sa, K","10,00",Çok bulutlu (2.134 m)
137,2023/1/12,10:20,9,11,1016,"9,26 km/sa, KB","6,00",Çok bulutlu (2.438 m)
138,2023/1/12,12:20,9,12,1017,"13,0 km/sa, K","7,00",Çok bulutlu (2.438 m)
139,2023/1/12,14:20,9,14,1016,"14,8 km/sa, K","10,00",Çok bulutlu (2.743 m)
140,2023/1/12,16:20,8,10,1017,"27,8 km/sa, K","10,00",Çok bulutlu (2.134 m)
141,2023/1/12,18:20,7,9,1017,"25,9 km/sa, K","10,00",Kapalı (274 m)
142,2023/1/12,20:20,7,8,1018,"25,9 km/sa, K","10,00",Kapalı (122 m)
143,2023/1/12,22:20,7,8,1018,"25,9 km/sa, K","10,00",Çok bulutlu (762 m)
